datetime,temp_max,temp_min,humidity,wind_speed,precipitation,month,temp_max_day_1,temp_min_day_1,humidity_day_1,wind_speed_day_1,temp_max_day_2,temp_min_day_2,humidity_day_2,wind_speed_day_2,temp_max_day_3,temp_min_day_3,humidity_day_3,wind_speed_day_3,temp_max_day_4,temp_min_day_4,humidity_day_4,wind_speed_day_4,temp_max_day_5,temp_min_day_5,humidity_day_5,wind_speed_day_5,temp_max_day_6,temp_min_day_6,humidity_day_6,wind_speed_day_6,temp_max_day_7,temp_min_day_7,humidity_day_7,wind_speed_day_7
2014-01-01,18.1,8.8,78,8.7,0.0,1,18.4,9.8,77.0,10.4,19.0,9.2,78.0,12.3,18.3,11.0,83.0,14.8,17.6,12.1,78.0,14.8,18.3,13.8,68.0,15.5,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6
2014-01-02,18.4,9.8,77,10.4,0.0,1,19.0,9.2,78.0,12.3,18.3,11.0,83.0,14.8,17.6,12.1,78.0,14.8,18.3,13.8,68.0,15.5,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7
2014-01-03,19.0,9.2,78,12.3,0.0,1,18.3,11.0,83.0,14.8,17.6,12.1,78.0,14.8,18.3,13.8,68.0,15.5,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2
2014-01-04,18.3,11.0,83,14.8,2.3,1,17.6,12.1,78.0,14.8,18.3,13.8,68.0,15.5,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1
2014-01-05,17.6,12.1,78,14.8,0.5,1,18.3,13.8,68.0,15.5,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4
2014-01-06,18.3,13.8,68,15.5,0.0,1,17.7,13.2,68.0,18.7,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3
2014-01-07,17.7,13.2,68,18.7,0.0,1,20.2,12.8,61.0,11.6,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3
2014-01-08,20.2,12.8,61,11.6,0.0,1,17.8,9.9,80.0,12.7,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4
2014-01-09,17.8,9.9,80,12.7,8.6,1,18.1,11.3,75.0,14.2,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2
2014-01-10,18.1,11.3,75,14.2,0.1,1,18.6,11.3,66.0,11.1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9
2014-01-11,18.6,11.3,66,11.1,0.0,1,19.2,12.7,74.0,11.4,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8
2014-01-12,19.2,12.7,74,11.4,0.0,1,18.9,11.1,74.0,9.3,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8,18.7,11.8,79.0,14.6
2014-01-13,18.9,11.1,74,9.3,0.2,1,19.4,14.0,80.0,13.3,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8,18.7,11.8,79.0,14.6,19.7,13.3,78.0,13.1
2014-01-14,19.4,14.0,80,13.3,0.0,1,18.7,11.8,78.0,12.4,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8,18.7,11.8,79.0,14.6,19.7,13.3,78.0,13.1,19.7,11.2,80.0,9.8
2014-01-15,18.7,11.8,78,12.4,0.0,1,21.7,13.2,75.0,10.2,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8,18.7,11.8,79.0,14.6,19.7,13.3,78.0,13.1,19.7,11.2,80.0,9.8,20.7,10.9,80.0,9.8
2014-01-16,21.7,13.2,75,10.2,0.0,1,19.4,12.0,80.0,18.9,19.0,13.1,79.0,13.8,18.7,11.8,79.0,14.6,19.7,13.3,78.0,13.1,19.7,11.2,80.0,9.8,20.7,10.9,80.0,9.8,19.2,10.8,75.0,15.3
